,old_name,modern_name,type_of_rule,modern_country,wikipage,wikibase,description,instance_of,inception,dissolved,religion,geoLoc,capital
241,Grafschaft Schaumburg-Lippe,Schaumburg-Lippe,['Grafschaft'],"['DE-NI', 'DE-NW']",<wptools.page.WPToolsPage object at 0x7f2a2fb42f90>,Q10916920,territory of the Holy Roman Empire (1647-1806),historical territory,+1647-00-00T00:00:00Z,+1806-00-00T00:00:00Z,,,
242,Grafschaft Schaunberg,Schaunberg,['Grafschaft'],['AT'],<wptools.page.WPToolsPage object at 0x7f2a2fb42cd0>,Q1344630,medieval/early modern county in what is now Upper Austria,,,,,,
243,Grafschaft Schwalenberg,Schwalenberg,['Grafschaft'],"['DE-NW', 'DE-HE']",<wptools.page.WPToolsPage object at 0x7f2a2fb42fd0>,Q1541799,noble family,noble family,,,,"(9.19995, 51.8772)",
244,Grafschaft Schwarzburg,Schwarzburg,['Grafschaft'],['DE-TH'],<wptools.page.WPToolsPage object at 0x7f2a2fb42dd0>,Q708821,countship,family,,+1918-01-01T00:00:00Z,,,
245,Grafschaft Schwerin,Schwerin,['Grafschaft'],['DE-MV'],<wptools.page.WPToolsPage object at 0x7f2a2fb42e50>,Q320360,county,county,,,,,
246,Grafschaft Sigmaringen,Sigmaringen,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fb47910>,Q569546,"building in Sigmaringen, Tübingen Government Region, Baden-Württemberg, Germany",castle,+1650-00-00T00:00:00Z,,,"(9.2169444444444, 48.087777777778)",
247,Grafschaft Solms-Rödelheim,Solms-Rödelheim,['Grafschaft'],['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2fb47850>,Q1541802,,historical territory,,,,,
248,Grafschaft Sponheim,Sponheim,['Grafschaft'],['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2fb47710>,Q517940,countship,countship,,+1804-01-01T00:00:00Z,,,
249,Grafschaft Steinfurt,Steinfurt,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fb47f50>,Q1614442,,countship,,,,,
250,Grafschaft Stolberg,Stolberg,['Grafschaft'],"['DE-ST', 'DE-TH']",<wptools.page.WPToolsPage object at 0x7f2a2fb4ef50>,Q320335,,state in the Holy Roman Empire,+1210-00-00T00:00:00Z,+1548-00-00T00:00:00Z,,,
251,Grafschaft Tecklenburg,Tecklenburg,['Grafschaft'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fb47d10>,Q881030,countship,countship,,+1808-01-01T00:00:00Z,,"(7.81389, 52.21944)",
252,Grafschaft Thurgau,Thurgau,['Landgrafschaft'],['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fb4e110>,Q1517423,aspect of history,aspect of history,,,,,
253,Grafschaft Tirol,Tirol,['Grafschaft'],"['AT', 'IT']",<wptools.page.WPToolsPage object at 0x7f2a2fb4e350>,Q16543832,former county of Austria,crown land of the Austrian Empire,+1140-00-00T00:00:00Z,,,"(11.2061, 46.9161)",Innsbruck
254,Grafschaft Urach,Urach,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fb4e250>,Q2106243,Branch of the House of Württemburg,noble family,,,,,
255,Grafschaft Uznach,Uznach,['Grafschaft'],['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fb4e510>,Q1541814,,countship,,,,,
256,Grafschaft Vaduz,Vaduz,['Grafschaft'],['FL'],<wptools.page.WPToolsPage object at 0x7f2a2fb56490>,Q831378,Historical countship in Liechtenstein,countship,+1342-00-00T00:00:00Z,+1719-01-23T00:00:00Z,,"(9.52166667, 47.13972222)",
257,Grafschaft Vaudémont,Vaudémont,['Grafschaft'],['FR'],<wptools.page.WPToolsPage object at 0x7f2a2fb56950>,Q318052,medieval countship in France,countship,+1070-00-00T00:00:00Z,+1508-00-00T00:00:00Z,,,Vaudémont
258,Grafschaft Veldenz,Veldenz,['Grafschaft'],['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2fb56d10>,Q315840,countship,countship,+1112-01-01T00:00:00Z,+1801-01-01T00:00:00Z,,"(7.025833, 49.890556)",Veldenz
259,Grafschaft Vianden,Vianden,['Grafschaft'],"['LU', 'DE-RP']",<wptools.page.WPToolsPage object at 0x7f2a2fb567d0>,Q319057,Wikimedia list article,Wikimedia list article,,,,,
260,Grafschaft Virneburg,Virneburg,['Grafschaft'],['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2fb56c50>,Q324813,countship,countship,,,,,
261,Grafschaft Weilnau,Weilnau,['Grafschaft'],['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2fb568d0>,Q1541830,,,,,,,
262,Grafschaft Weimar,Weimar,['Grafschaft'],['DE-TH'],<wptools.page.WPToolsPage object at 0x7f2a2fb56ad0>,Q883382,countship,countship,,,,,
263,Grafschaft Weimar-Orlamünde,Weimar-Orlamünde,['Grafschaft'],['DE-TH'],<wptools.page.WPToolsPage object at 0x7f2a2fb560d0>,Q883382,countship,countship,,,,,
264,Grafschaft Werdenberg,Werdenberg,['Grafschaft'],['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fb5d690>,Q1541835,countship,countship,,,,,
265,Grafschaft Werdenfels,Werdenfels,['Grafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fb5d310>,Q323167,,countship,,,,"(11.097565, 47.519519)",
266,Grafschaft Wernigerode,Wernigerode,['Grafschaft'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f2a2fb5dd10>,Q876141,countship,countship,+1121-01-01T00:00:00Z,+1429-01-01T00:00:00Z,,,
267,Grafschaft Wertheim,Wertheim,['Grafschaft'],"['DE-BW', 'DE-HE']",<wptools.page.WPToolsPage object at 0x7f2a2fb5de10>,Q2563479,family,noble family,,,,,
268,Grafschaft Wied,Wied,['Grafschaft'],"['DE-RP', 'DE-HE']",<wptools.page.WPToolsPage object at 0x7f2a2fb5d090>,Q699731,"former County of Rhineland-Palatinate, Germany",principality,+1093-01-01T00:00:00Z,+1698-01-01T00:00:00Z,,,Neuwied
269,Grafschaft Wittgenstein,Wittgenstein,['Grafschaft'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fb5d490>,Q881875,geographic region,geographic region,,,,,
270,Grafschaft Zeeland,Zeeland,['Grafschaft'],['NL'],<wptools.page.WPToolsPage object at 0x7f2a2fb5d9d0>,Q705,province of the Netherlands,province of the Netherlands,+1012-00-00T00:00:00Z,,,"(3.75, 51.566666666667)",Middelburg
271,Grafschaft Ziegenhain,Ziegenhain,['Grafschaft'],['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2b342e50>,Q1541839,,,,,,,
272,Grafschaft Zollern,Zollern,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fb5d1d0>,Q15427587,family,noble family,,,,,
273,Grafschaft Zutphen,Zutphen,['Herrschaft'],['NL'],<wptools.page.WPToolsPage object at 0x7f2a2b342990>,Q1541869,,countship,,,,,
274,Grafschaft Zweibrücken,Zweibrücken,['Grafschaft'],"['DE-SL', 'DE-RP', 'FR']",<wptools.page.WPToolsPage object at 0x7f2a2b342b50>,Q776565,Holy Roman Empire territory,countship,+1182-01-01T00:00:00Z,+1394-01-01T00:00:00Z,,,
275,Haguenau,Hagenau,"['Freie Reichsstadt', 'Reichsstadt']",['FR'],<wptools.page.WPToolsPage object at 0x7f2a2b342ad0>,Q22730,"commune in Bas-Rhin, France",commune of France,,,,"(7.7877777777778, 48.816666666667)",
276,Harlingerland,Harlingerland,"['Gliedstaat', 'Land']",['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2b346dd0>,Q493586,strip of land on the North Sea coast of East Frisia,territorial entity,,,,,
277,Hatzfeld (Adelsgeschlecht),Hatzfeld,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2b346c50>,Q834277,German noble family,German noble family,,,,,
278,Haus Nassau-Hadamar,Nassau-Hadamar,['Grafschaft'],['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2b346d50>,Q59694879,German noble family,family,+1303-00-00T00:00:00Z,,,,
279,Haus Nassau-Siegen,Nassau-Siegen,['Grafschaft'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2b34e150>,Q736029,German county,principality,+1303-01-01T00:00:00Z,+1743-01-01T00:00:00Z,,,
280,Haus Reuß,Reuß,['Grafschaft'],['DE-TH'],<wptools.page.WPToolsPage object at 0x7f2a2b346e90>,Q819968,noble family,noble family,,+1806-01-01T00:00:00Z,,,Weida
281,Haus Waldburg,Waldburg,"['Truchsess (Hofamt)', 'Truchsess']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2b34ebd0>,Q451132,noble family,noble family,,,,,
282,Heilbronn,Heilbronn,"['Freie Reichsstadt', 'Reichsstadt']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2b34e9d0>,Q715,German city in the state of Baden-Württemberg,city district of Baden-Württemberg,,,,"(9.217953, 49.140428)",
283,Henneberg (Adelsgeschlecht),Henneberg,"['Schleusingen#Geschichte', 'Schleusingen']",['DE-TH'],<wptools.page.WPToolsPage object at 0x7f2a2b34efd0>,Q876797,noble family,noble family,+1037-01-01T00:00:00Z,+1660-01-01T00:00:00Z,,,
284,Herrlichkeit Mechelen,Mecheln,"['Herrschaft (Territorium)', 'Herrschaft']",['BE'],<wptools.page.WPToolsPage object at 0x7f2a2b34ead0>,Q638575,and independent Lordship within Habsburg-controlled Low Countries (until 1795),herrschaft,+0910-00-00T00:00:00Z,+1795-00-00T00:00:00Z,,,Mechelen
285,Herrschaft Aach,Aach,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2b34e690>,Q21039504,,historical territory,,,,,
286,Herrschaft Ahaus,Ahaus,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2b356450>,Q55519479,,,,,,,
287,Herrschaft Badenweiler,Badenweiler,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2b34e910>,Q15815428,,,,,,"(7.66833333, 47.8025)",
288,Herrschaft Bretzenheim,Bretzenheim,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2b356f50>,Q2639956,,historical territory,+1790-01-01T00:00:00Z,+1804-01-01T00:00:00Z,,,
289,Herrschaft Breuberg,Breuberg,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2b356790>,Q1614366,,herrschaft,,,,,
290,Herrschaft Burgberg,Burgberg,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2b356c90>,Q21039574,,historical territory,,,,,
291,Herrschaft Burgrain,Burgrain,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2b356610>,Q1614374,,,,,,"(12.04833333, 48.18805556)",
292,Herrschaft Bürresheim,Bürresheim,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2b356dd0>,Q322433,château,château,,,,"(7.17971, 50.3528)",
293,Herrschaft Dagstuhl,Dagstuhl,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-SL'],<wptools.page.WPToolsPage object at 0x7f2a2b3563d0>,Q472169,historic territory of the Holy Roman Empire,herrschaft,,,,,
294,Herrschaft Enghien,Enghien,"['Herrschaft (Territorium)', 'Herrschaft']",['BE'],<wptools.page.WPToolsPage object at 0x7f2a2b35ded0>,Q1177339,noble title,noble title,,,,,
295,Herrschaft Eppstein,Eppstein,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2b35d090>,Q1347661,extinct family of German nobility,dynasty,,,,,
296,Herrschaft Fleckenstein,Fleckenstein,"['Herrschaft (Territorium)', 'Herrschaft']",['FR'],<wptools.page.WPToolsPage object at 0x7f2a2b35de90>,Q1614383,,herrschaft,,,,,
297,Herrschaft Gemen,Gemen,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2b35d6d0>,Q477038,Imperial State of the Holy Roman Empire,state in the Holy Roman Empire,,,,,
298,Herrschaft Haigerloch,Haigerloch,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2b35d8d0>,Q1614392,,,,,,,
299,Herrschaft Hattweiler,Hattweiler,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-SL'],<wptools.page.WPToolsPage object at 0x7f2a2b35d450>,Q1614396,,historical territory,,,,,
300,Herrschaft Heideck,Heideck,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2b35dc50>,Q1426195,noble family,noble family,,,,,
301,Herrschaft Heinsberg,Heinsberg,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2b35dc10>,Q1597796,territory within the Holy Roman Empire,state in the Holy Roman Empire,,,,,
302,Herrschaft Heitersheim,Heitersheim,['Fürstentum'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2b3670d0>,Q1116529,German monastery,monastery,,,,,
303,Herrschaft Hohenburg-Bissingen,Hohenburg-Bissingen,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2b367cd0>,Q1614404,,historical territory,,,,,
304,Herrschaft Itter,Itter,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2b35d910>,Q95183782,,,,,,,
305,Herrschaft Jever,Jever,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2b367d10>,Q186791,territory in the Holy Roman Empire,territory,,,,,
306,Herrschaft Justingen,Justingen,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2b367f90>,Q56423501,,,,,,,
307,Herrschaft Kniphausen,Kniphausen,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2b367c50>,Q1236847,,,,,,,
308,Herrschaft Landstuhl,Landstuhl,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2b367610>,Q21039499,,historical territory,,,,,
309,Herrschaft Lichtenberg,Lichtenberg,"['Herrschaft (Territorium)', 'Herrschaft']",['FR'],<wptools.page.WPToolsPage object at 0x7f2a2b36fc10>,Q320530,lordship,state in the Holy Roman Empire,+1200-00-00T00:00:00Z,+1480-00-00T00:00:00Z,,,Lichtenberg
310,Herrschaft Lindau,Lindau,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-ST'],<wptools.page.WPToolsPage object at 0x7f2a2b36fb50>,Q1437283,,countship,,,,,
311,Herrschaft Lohn,Lohn,"['Herrschaft (Territorium)', 'Herrschaft']","['DE-NW', 'NL-GE']",<wptools.page.WPToolsPage object at 0x7f2a2b36f110>,Q13646389,,countship,+1100-00-00T00:00:00Z,+1316-00-00T00:00:00Z,,,
312,Herrschaft Mitwitz,Mitwitz,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2b36fd10>,Q94646310,,,,,,,
313,Herrschaft Myllendonk,Myllendonk,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2b36fad0>,Q876407,château,château,,,,"(6.49014, 51.2096)",
314,Herrschaft Ochsenstein,Ochsenstein,"['Herrschaft (Territorium)', 'Herrschaft']",['FR'],<wptools.page.WPToolsPage object at 0x7f2a2b36fa50>,Q2563355,,herrschaft,,,,,
315,Herrschaft Olbrück,Olbrück,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2b36fe90>,Q1293833,,historical territory,,,,,
316,Herrschaft Parchim-Richenberg,Parchim-Richenberg,['Fürstentum'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2b36fed0>,Q1614418,principality,principality,,,,,
317,Herrschaft Reichenstein,Reichenstein,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2b36f210>,Q1614431,,herrschaft,,,,,
318,Herrschaft Runkel,Runkel,['Herrschaft'],['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2b378750>,Q874886,"Castle in Hesse, Germany",castle,,,,"(8.15589, 50.4053)",
319,Herrschaft Ruppin,Ruppin,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BB'],<wptools.page.WPToolsPage object at 0x7f2a2b378f50>,Q30904844,historical territory (–1524),historical territory,+1214-00-00T00:00:00Z,+1524-00-00T00:00:00Z,,"(12.843888888889, 52.946944444444)",
320,Herrschaft Saffenburg,Saffenburg,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2b378a10>,Q779000,castle ruin,castle ruin,,,,"(7.02322, 50.5197)",
321,Herrschaft Schellenberg,Schellenberg,"['Herrschaft (Territorium)', 'Herrschaft']",['FL'],<wptools.page.WPToolsPage object at 0x7f2a2b378ad0>,Q831779,historical lordship in Liechtenstein,herrschaft,+0900-00-00T00:00:00Z,+1719-00-00T00:00:00Z,,"(9.54805556, 47.23361111)",
322,Herrschaft Schleiden,Schleiden,['Grafschaft'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2b378a90>,Q1614439,countship,countship,,,,,
323,Herrschaft Schmalkalden,Henneberg-Schmalkalden,"['Reichsgraf', 'Gefürstete Reichsgrafschaft']",['DE-TH'],<wptools.page.WPToolsPage object at 0x7f2a2b378d90>,Q16065159,,,,,,,
324,Herrschaft Schmalkalden,Schmalkalden,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-TH'],<wptools.page.WPToolsPage object at 0x7f2a2b378e10>,Q16065159,,,,,,,
325,Herrschaft Schwabegg,Schwabegg,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2b378150>,Q1411361,,herrschaft,,,,,
326,Herrschaft Schwarzenberg (Klettgau),Schwarzenberg-Klettgau,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a28c9fdd0>,Q1459626,,,,,,,
327,Herrschaft Stargard,Stargard,['Herrschaft'],['DE-MV'],<wptools.page.WPToolsPage object at 0x7f2a28c9fb50>,Q1504700,,herrschaft,,,,,Burg Stargard
328,Herrschaft Straßberg,Straßberg,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a28c9fb90>,Q533700,municipality in Germany,municipality of Germany,,,,"(9.0877777777778, 48.180277777778)",
329,Herrschaft Sulzbürg-Pyrbaum,Sulzbürg-Pyrbaum,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a28c9fc50>,Q19285519,,herrschaft,,,,,
330,Herrschaft Waldeck (Hunsrück),Waldeck,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a28ca8f90>,Q1614446,,,,,,,
331,Herrschaft Waldeck (Oberpfalz),Waldeck,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a28ca85d0>,Q1614449,,,,,,,
332,Herrschaft Waldeck (Odenwald),Waldeck,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a28c9fd10>,Q1614448,,,,,,,
333,Herrschaft Wartenburg,Wartenburg,"['Herrschaft (Territorium)', 'Herrschaft']",[],<wptools.page.WPToolsPage object at 0x7f2a28ca8710>,Q1614451,"building in Upper Austria, Austria",castle,,,,"(13.6229, 48.0116)",
334,Herrschaft Werle,Werle,['Herrschaft'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a28c9f550>,Q320536,principality,principality,+1235-01-01T00:00:00Z,+1436-01-01T00:00:00Z,,,
335,Herrschaft Westerburg,Westerburg,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a28ca8fd0>,Q1614458,,herrschaft,,,,,
336,Herrschaft Wickrath,Wickrath,"['Schwanenberg#Die evangelische Gemeinde', 'Schwanenberg']",['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a28ca8650>,Q1677185,"part of Mönchengladbach, Germany",quarter,,,,"(6.41072, 51.1285)",
337,Herrschaft Wiesenburg,Wiesenburg,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-SN'],<wptools.page.WPToolsPage object at 0x7f2a28ca8f10>,Q1614452,,,,,,,
338,Herrschaft Wiesensteig,Wiesensteig,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a28ca8ed0>,Q80854,municipality in Germany,urban municipality of Germany,,,,"(9.6252777777778, 48.561666666667)",
339,Herrschaft Wiesentheid,Wiesentheid,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a28caffd0>,Q23786501,,,,,,,
340,Herrschaft Wildenfels,Wildenfels,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-SN'],<wptools.page.WPToolsPage object at 0x7f2a28caf850>,Q1614454,,,,,,,
341,Herrschaft Winneburg und Beilstein,Winneburg und Beilstein,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a28caf810>,Q574917,,herrschaft,+1488-01-01T00:00:00Z,+1801-01-01T00:00:00Z,,,
342,Herrschaft Wittem,"Wittem, Eyß und Schlenacken",['Reichsherrschaft'],['NL'],<wptools.page.WPToolsPage object at 0x7f2a28cb3c10>,Q14276968,,countship,,,,,
343,Herrschaft vom Stein,Stein,['Herrschaft'],['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a28cb3fd0>,Q1282629,,historical territory,,,,,
344,Herzog zu Mecklenburg,Mecklenburg,['Herzogtum'],"['DE-MV', 'DE-SH']",<wptools.page.WPToolsPage object at 0x7f2a28cb3c90>,Q1615296,,noble title,,,,,
345,Herzogtum Arenberg,Arenberg,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a28cb3d50>,Q551530,countship,countship,+1549-00-00T00:00:00Z,+1810-01-01T00:00:00Z,,"(4.70194, 50.8792)",
346,Herzogtum Bar,Bar,['Grafschaft'],['FR'],<wptools.page.WPToolsPage object at 0x7f2a28cb3d90>,Q706679,duchy,duchy,+1033-01-01T00:00:00Z,+1766-01-01T00:00:00Z,,,
347,Herzogtum Bayern (HRR),Bayern/Baiern,['Herzogtum'],"['HR', 'DE-BY', 'AT']",<wptools.page.WPToolsPage object at 0x7f2a28cb3590>,Q88961298,,,,,,,
348,Herzogtum Beuthen,Beuthen,['Herzogtum'],['PL'],<wptools.page.WPToolsPage object at 0x7f2a28cb3ed0>,Q682001,,Duchies of Silesia,+1281-01-01T00:00:00Z,+1498-01-01T00:00:00Z,,"(18.9179, 50.351)",
349,Herzogtum Brabant,Brabant,['Gaugrafschaft'],"['NL', 'BE']",<wptools.page.WPToolsPage object at 0x7f2a28cb3390>,Q159856,State of the Holy Roman Empire,duchy,+1183-00-00T00:00:00Z,+1795-01-01T00:00:00Z,,,
350,Herzogtum Braunschweig-Lüneburg,Braunschweig-Lüneburg,['Herzogtum'],"['DE-NI', 'DE-SH']",<wptools.page.WPToolsPage object at 0x7f2a28cbcd90>,Q556263,"Duchy in Holy Roman Empire 1235-1269; title of ""Duke of Brunswick-Luneburg"" used by rulers of all successor states",state in the Holy Roman Empire,+1235-01-01T00:00:00Z,+1806-01-01T00:00:00Z,,"(10.521111111111, 52.269166666667)",Brunswick
351,Herzogtum Breslau,Breslau,['Herzogtum'],['PL'],<wptools.page.WPToolsPage object at 0x7f2a28cbc990>,Q325725,,duchy,+1173-00-00T00:00:00Z,+1335-00-00T00:00:00Z,,"(17.033333333333335, 51.11666666666667)",Wrocław
352,Herzogtum Brieg,Brieg,['Herzogtum'],['PL'],<wptools.page.WPToolsPage object at 0x7f2a28cbcb50>,Q606974,,Duchies of Silesia,+1311-01-01T00:00:00Z,+1675-01-01T00:00:00Z,,"(17.4708, 50.8609)",
353,Herzogtum Franken,Franken,['Herzogtum'],"['DE-HE', 'DE-BW', 'DE-RP', 'DE-BY']",<wptools.page.WPToolsPage object at 0x7f2a28cbcd10>,Q703265,medieval stem duchy in the Kingdom of Germany,duchy,,,,,
354,Herzogtum Freudenthal,Freudenthal,"['Herrschaft (Territorium)', 'Herrschaft']",['CZ'],<wptools.page.WPToolsPage object at 0x7f2a28cbc5d0>,Q822709,,manorialism,,,,,
355,Herzogtum Geldern,Geldern,['Grafschaft'],"['DE-NW', 'NL']",<wptools.page.WPToolsPage object at 0x7f2a28cbce10>,Q152420,historical county in the Low Countries,historical country,+1096-01-01T00:00:00Z,+1795-01-01T00:00:00Z,,,Geldern
356,Herzogtum Görlitz,Görlitz,['Herzogtum'],"['DE-SN', 'DE-BB', 'PL']",<wptools.page.WPToolsPage object at 0x7f2a28cbcfd0>,Q567506,Czech prince,human,,,,,
357,Herzogtum Holstein,Holstein,['Grafschaft'],"['DE-SH', 'DE-HH']",<wptools.page.WPToolsPage object at 0x7f2a28cbcdd0>,Q704288,"territory of the Holy Roman Empire and its successors, 1474–1867",state in the Holy Roman Empire,+1474-01-01T00:00:00Z,+1867-00-00T00:00:00Z,,,Glückstadt
358,Herzogtum Jägerndorf,Jägerndorf,['Herzogtum'],['CZ'],<wptools.page.WPToolsPage object at 0x7f2a28cc2f90>,Q670892,,Duchies of Silesia,+1377-01-01T00:00:00Z,+1623-01-01T00:00:00Z,,"(17.6943, 50.0901)",Krnov
359,Herzogtum Jülich,Jülich,['Grafschaft'],"['DE-NW', 'DE-RP', 'NL']",<wptools.page.WPToolsPage object at 0x7f2a28cc2f10>,Q836937,duchy,duchy,+1003-01-01T00:00:00Z,+1794-01-01T00:00:00Z,,"(6.35, 50.91666667)",Jülich
360,Herzogtum Kleve,Kleve,['Grafschaft'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a28cc2c90>,Q641138,State of the Holy Roman Empire,duchy,+1092-01-01T00:00:00Z,+1795-01-01T00:00:00Z,Catholic Church,"(6.13333333, 51.78333333)",Kleve
361,Herzogtum Krain,Krain,['Herzogtum'],['SI'],<wptools.page.WPToolsPage object at 0x7f2a28cc29d0>,Q193474,historical region,march,,,,"(14.5, 46.05)",
362,Herzogtum Kärnten,Kärnten,['Herzogtum'],"['AT', 'IT', 'SI']",<wptools.page.WPToolsPage object at 0x7f2a28cbca50>,Q78084802,,aspect of history,,,,,
363,Herzogtum Liegnitz,Liegnitz,['Herzogtum'],['PL'],<wptools.page.WPToolsPage object at 0x7f2a28cc2d90>,Q570740,,Duchies of Silesia,+1248-01-01T00:00:00Z,+1675-01-01T00:00:00Z,,"(16.1603, 51.2083)",
364,Herzogtum Limburg,Limburg,['Herzogtum'],"['BE', 'NL']",<wptools.page.WPToolsPage object at 0x7f2a28cc2c50>,Q697787,duchy in Western Europe between 1065-1795,duchy,+1065-01-01T00:00:00Z,+1795-01-01T00:00:00Z,,,Limbourg
